metric,week_id,year,count,week,class
European Union,Week 42,2020,134,42,train
North America,Week 42,2020,154,42,train
Demo,Week 43,2020,108,43,test
Chat,Week 43,2020,125,43,test
Signup,Week 43,2020,219,43,test
Overall,Week 43,2020,452,43,test
Direct,Week 43,2020,110,43,test
Organic,Week 43,2020,115,43,test
Paid,Week 43,2020,161,43,test
APAC,Week 43,2020,104,43,test
European Union,Week 43,2020,115,43,test
North America,Week 43,2020,178,43,test
Demo,Week 44,2020,98,44,test
Chat,Week 44,2020,139,44,test
Signup,Week 44,2020,237,44,test
Overall,Week 44,2020,474,44,test
Direct,Week 44,2020,95,44,test
Organic,Week 44,2020,148,44,test
Paid,Week 44,2020,161,44,test
APAC,Week 44,2020,115,44,test
European Union,Week 44,2020,124,44,test
North America,Week 44,2020,181,44,test
Chat,Week 45,2020,97,45,test
Demo,Week 45,2020,110,45,test
Signup,Week 45,2020,223,45,test
Overall,Week 45,2020,430,45,test
Direct,Week 45,2020,93,45,test
Organic,Week 45,2020,141,45,test
Paid,Week 45,2020,140,45,test
APAC,Week 45,2020,83,45,test
European Union,Week 45,2020,147,45,test
North America,Week 45,2020,153,45,test
Demo,Week 46,2020,120,46,test
Chat,Week 46,2020,126,46,test
Signup,Week 46,2020,226,46,test
Overall,Week 46,2020,472,46,test
Direct,Week 46,2020,92,46,test
Organic,Week 46,2020,150,46,test
Paid,Week 46,2020,155,46,test
APAC,Week 46,2020,115,46,test
European Union,Week 46,2020,145,46,test
North America,Week 46,2020,165,46,test
Demo,Week 47,2020,76,47,test
Chat,Week 47,2020,99,47,test
Signup,Week 47,2020,166,47,test
Overall,Week 47,2020,341,47,test
Direct,Week 47,2020,69,47,test
Organic,Week 47,2020,109,47,test
Paid,Week 47,2020,111,47,test
APAC,Week 47,2020,72,47,test
European Union,Week 47,2020,91,47,test
North America,Week 47,2020,119,47,test
Demo,Week 48,2020,,48,test
Chat,Week 48,2020,,48,test
Signup,Week 48,2020,,48,test
Overall,Week 48,2020,,48,test
Direct,Week 48,2020,,48,test
Organic,Week 48,2020,,48,test
Paid,Week 48,2020,,48,test
APAC,Week 48,2020,,48,test
European Union,Week 48,2020,,48,test
North America,Week 48,2020,,48,test
Demo,Week 49,2020,,49,test
Chat,Week 49,2020,,49,test
Signup,Week 49,2020,,49,test
Overall,Week 49,2020,,49,test
Direct,Week 49,2020,,49,test
Organic,Week 49,2020,,49,test
Paid,Week 49,2020,,49,test
APAC,Week 49,2020,,49,test
European Union,Week 49,2020,,49,test
North America,Week 49,2020,,49,test
Demo,Week 50,2020,,50,test
Chat,Week 50,2020,,50,test
Signup,Week 50,2020,,50,test
Overall,Week 50,2020,,50,test
Direct,Week 50,2020,,50,test
Organic,Week 50,2020,,50,test
Paid,Week 50,2020,,50,test
APAC,Week 50,2020,,50,test
European Union,Week 50,2020,,50,test
North America,Week 50,2020,,50,test
Demo,Week 51,2020,,51,test
Chat,Week 51,2020,,51,test
Signup,Week 51,2020,,51,test
Overall,Week 51,2020,,51,test
Direct,Week 51,2020,,51,test
Organic,Week 51,2020,,51,test
Paid,Week 51,2020,,51,test
APAC,Week 51,2020,,51,test
European Union,Week 51,2020,,51,test
North America,Week 51,2020,,51,test
Demo,Week 52,2020,,52,test
Chat,Week 52,2020,,52,test
Signup,Week 52,2020,,52,test
Overall,Week 52,2020,,52,test
Direct,Week 52,2020,,52,test
Organic,Week 52,2020,,52,test
Paid,Week 52,2020,,52,test
APAC,Week 52,2020,,52,test
European Union,Week 52,2020,,52,test
North America,Week 52,2020,,52,test
Demo,Week 53,2020,,53,test
Chat,Week 53,2020,,53,test
Signup,Week 53,2020,,53,test
Overall,Week 53,2020,,53,test
Direct,Week 53,2020,,53,test
Organic,Week 53,2020,,53,test
Paid,Week 53,2020,,53,test
APAC,Week 53,2020,,53,test
European Union,Week 53,2020,,53,test
North America,Week 53,2020,,53,test
